case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
1959.08.10,10-aug-59,1959,unprovoked,usa,georgia,"savannah beach, savannah, chatham county",standing,f,15.0,"4"" cut on left foot",n,nan,mccutcheon; news (savannah) 8/18/1959,1959.08.10-fields.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.10-fields.pdf,2143
1959.08.05,05-aug-59,1959,invalid,usa,california,"hermosa beach, los angeles county",wading,m,,"no injury, no attack, the shark merely circled him.",n,10' shark,"independent, 8/6/1959, p.8; h.d. baldridge (1994) saf case #437, subsequently investigated by r. collier & d. miller who were unable to verify its authenticity",1959.08.05-hill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.05-hill.pdf,2142
1959.08.02,not defined,1959,invalid,italy,tuscany,"cala del corvo, isola del giglio",scuba diving,m,,probable drowing. shark involvement unconfirmed,y,nan,"c. moore, gsaf",1959.08.02-giglio.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.02-giglio.pdf,2141
1959.07.30,30-jul-59,1959,provoked,usa,california,"in kelp beds off la jolla, san diego county",pulling anchor,,,"no injury to occupants, shark charged boat after being shot twice with pistol and speared provoked incident",n,"white shark, 3 m to 5 m [10' to 15']","la times, 7/31/1959",1959.07.30-randles_collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.30-randles_collier.pdf,2140
1959.07.28,28-jul-59,1959,unprovoked,usa,california,"alligator head, la jolla, san diego county",spearfishing (but on surface),m,25.0,"14 punctures on right thigh, swim trunks torn",n,"hammerhead shark, 1.8 m [6'] s. zygena identified by c. limbaugh on description","d. miller & r. collier; r. collier, pp.24-25; garrick & l. schultz, p.19 in sharks & survival; p. gilbert, l. schultz & s. springer (1960)",1959.07.28-fleet_collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.28-fleet_collier.pdf,2139
1959.07.25.b,25-jul-59,1959,unprovoked,japan,okayama prefecture,ushimado,nan,m,22.0,"fatal, right thigh bitten",y,blue shark?,"m. hosina; k. nakaya; l. schultz & m. malin, p.539",1959.07.25.b-ishida.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.25.b-ishida.pdf,2138
1959.07.25.a,25-jul-59,1959,boat,usa,california,"mission beach, san diego county",nan,,21.0,no injury to occupant,n,"hammerhead shark, 2.4 m [8']","san diego union, 7/26/1959",1959.07.25.a-agnew.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.25.a-agnew.pdf,2137
1959.07.23.b,23-jul-59,1959,boat,usa,california,"off la jolla cove, san diego county",fishing,,,"no injury to occupant, shark rammed boat",n,"hammerhead shark, 3 m [10']","herald express (l.a.), 7/25/1959",1959.07.23.b-woodrowsmith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.23.b-woodrowsmith.pdf,2136
1959.07.23.a,23-jul-59,1959,provoked,usa,california,"venice beach, los angeles county",dragging stranded shark ashore,m,,"gietel grabbed the shark's tail, the shark lacerated his right ankle provoked incident",n,"blue shark, 1.8 m [6']","herald express (l.a.), 7/25/1959",1959.07.23.a-geitel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.23.a-geitel.pdf,2135
1959.07.03.a & b,03-jul-59,1959,sea disaster,caribbean sea,panama,"off cristobal, 200 miles northeast of the entrance to the panama canal",columbian petrol barge rio atrato burned and sank,,27.0,"fatal x 2, 8 others missing. survivors fought off sharks & sharks seen biting 2 of the dead. the 39 survivors were rescued by the german freighter essen",y,nan,"cambridge daily news, 7/4/1959; v. m. coppleson (1962), p. 259",1959.07.03-rio-atranto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.03-rio-atranto.pdf,2134
1959.07.02,02-jul-59,1959,provoked,usa,florida,"delray beach, palm beach county",free diving,m,13.0,arm bitten when he grabbed shark�s tail  provoked incident,n,"nurse shark, 60 cm [24""], identified by dr. l.p. l. schultz on photograph","miami herald, 7/3/1959; garrick & l. schultz, p.56 in sharks & survival; miami herald, 3 july 1959",1959.07.02-scherer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.02-scherer.pdf,2133
1959.07.00.b,not defined,1959,boat,north atlantic ocean,in the gulf stream,between bimini & miami,nan,,,"no injury to occupant, shark bit propeller as wade was refueling",n,"oceanic whitetip shark,1.8 m [6']","j. randall in sharks & survival, p.356",1959.07.00.b-boat-r-wade.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.00.b-boat-r-wade.pdf,2132
1959.07.00.a,not defined,1959,unprovoked,mexico,quintana roo,chinchorro banks,wading,m,,"fatal, legs bitten",y,nan,c.g. robles,1959.07.00.a-lobster-fishermen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.00.a-lobster-fishermen.pdf,2131
1959.06.26.r,not defined,1959,unprovoked,turkey,mersin province,off mezitli,nan,m,,leg injured,n,nan,"c. moore, gsaf",1959.06.26.r-steinberg.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.26.r-steinberg.pdf,2130
1959.06.14.b,14-jun-59,1959,unprovoked,mexico,guyamas,san pedro nolasco island,swimming ashore from capsized boat,m,,fatal,y,nan,"miami herald, 6/15/1959",1959.06.14.b-topete.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.14.b-topete.pdf,2129
1959.06.14.a,14-jun-59,1959,unprovoked,usa,california,"la jolla, san diego county",free diving for abalone,m,33.0,"fatal, body not recovered",y,"reported to involve a white shark, 6 m to 7m [20' to 23']","d. miller & r. collier; r. collier, pp. 21-24",1959.06.14.a-pamperin_collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.14.a-pamperin_collier.pdf,2128
1959.06.13,13-jun-59,1959,invalid,usa,california,"dillon beach, marin county",swimming,,,"disappeared after diving in �deep hole�, body not recovered, �presumed taken by a shark�",y,nan,"d. miller & r. collier, r. collier, p. xxv",1959.06.13-mcneill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.13-mcneill.pdf,2127
1959.05.30,30-may-59,1959,provoked,south africa,eastern cape province,"bird island, algoa bay",spearfishing,m,23.0,"no injury, diver shot shark & it bit his speargun provoked incident",n,"white shark, 2.7 m [9'], 280-lb","c. middleton; m. levine, gsaf",1959.05.30-tonydicks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.30-tonydicks.pdf,2126
1959.05.16,16-may-59,1959,unprovoked,usa,florida,"indian rocks beach, clearwater, pinellas county",nan,f,37.0,minor injuries,n,1.2 m [4'] shark,"v.m. coppleson (1962), p.249; miami news, 5/18/1959",1959.05.16-goldback.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.16-goldback.pdf,2125
1959.05.07,07-may-59,1959,unprovoked,usa,california,"baker beach, san francisco county",treading water,m,18.0,"fatal, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest",y,"white shark, 3 m [10']; identifed by dr. w.i. follett on tooth marks","p. gilbert, l. schultz & s. springer (1960); d. miller & r. collier, follett, p. 18-22; r. collier, pp.18-21",1959.05.07-kogler_collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.07-kogler_collier.pdf,2124
1959.05.03,03-may-59,1959,unprovoked,usa,florida,"panama city, bay county",spearfishing,m,19.0,lacerated hip & hands,n,"tiger shark, 3.7 m [12']","miami herald, 5/5/1959; t. helm, pp. 93 & 243",1959.05.03-grover.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.03-grover.pdf,2123
1959.05.00,not defined,1959,unprovoked,mid atlantic ocean,between england & south africa,nan,jumped overboard to rescue a man,m,,leg bitten,n,nan,"golden city post (south africa), 6/7/1959; p. gilbert, l. schultz & s. springer (1960)",1959.05.00-green.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.00-green.pdf,2122
1959.04.27,27-apr-59,1959,invalid,australia,new south wales,maroubra bay,spearfishing,m,22.0,thigh lacerated,n,nan,"v.m. coppleson (1962), p.251; j. green, p.35",1959.04.27-holland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.27-holland.pdf,2121
1959.04.11,11-apr-59,1959,unprovoked,australia,torres strait,"coconut island , 100 miles east of thursday island",diving for pearl shell,m,43.0,left hand lacerated when he tried to ward off shark,n,"tiger shark, 1.8 m [6']","g.p. whitley ref. sydney morning herald, 4/13/1959; p. gilbert, l. schultz & s. springer (1960)",1959.04.11-pearson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.11-pearson.pdf,2120
1959.04.09.b,09-apr-59,1959,unprovoked,usa,hawaii,"hilo, off kaua'i",fishing,m,,survived,n,nan,"v.m. coppleson (1962), p.246",1959.04.09.b-fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.09.b-fisherman.pdf,2119
1959.04.09..a,09-apr-59,1959,unprovoked,south africa,eastern cape province,port elizabeth,fishing,m,,2 toes bitten off,n,nan,nan,1959.04.09.a-fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.09.a-fisherman.pdf,2118
1959.04.05,05-apr-59,1959,unprovoked,australia,new south wales,thirroul,spearfishing,m,,swim fin bitten,n,nan,"p. gilbert, l. schultz & s. springer (1960)",1959.04.05-mcauley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.05-mcauley.pdf,2117
1959.03.29,29-mar-59,1959,unprovoked,usa,florida,"vaca cut channel & bridge under marathon, monroe county",swimming,m,13.0,"bumped, then knee bitten",n,nan,"florida keys keynoter, 4/2/1959; dr. h. s. denniger; note: v.m. coppleson (1962) lists date of may 1959, p249",1959.03.29-mckee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.03.29-mckee.pdf,2116
1959.03.08,08-mar-59,1959,unprovoked,philippines,mindanao,"mouth of langoyan river, davao city",lifeboat capsized,m,20.0,"fatal, body not recovered",y,nan,"manila chronicle, 3/10/1959; p. gilbert, l. schultz & s. springer (1960)",1959.03.08-sanchez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.03.08-sanchez.pdf,2115
1959.03.00,not defined,1959,boat,usa,florida,miami,"on boat, preparing to dive",m,,boat followed shark; shark holed boat,n,tiger shark 4.3 m [14'],"r.p.l. straughan;  r.f. hutton; t. helm, p.241;",1959.03.00-straughan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.03.00-straughan.pdf,2114
1959.02.28,28-feb-59,1959,boat,australia,victoria,port phillip bay,fishing for snapper,m,,"no injury to occupants. shark leapt into boat, momentarily pinning crew against the side",n,"mako shark, 2.4 m [8'], <300-lb, identified by dr. l.p. l. schultz on photograph","west australian, 3/1/1959; l. schultz & m. malin, p.552",1959.02.28-boat-crew-thatcher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.28-boat-crew-thatcher.pdf,2113
1959.02.27,27-feb-59,1959,unprovoked,venezuela,nueva esparta,margarita island,fell into water while attempting to boat a swordfish,m,,left arm bitten,n,nan,"p. gilbert, l. schultz & s. springer (1960)",1959.02.27-gerbeau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.27-gerbeau.pdf,2112
1959.02.06,16-feb-59,1959,provoked,papua new guinea,kikori river mouth,"ururumba, mouth of kikori river 7.45s, 144.40e",fishing,m,,arm bitten by shark that he thought was dead provoked incident,n,3.7 m [12'] shark,"t. ingledew, medical assistant; a. m rapson, p.147",1959.02.06-ururumba.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.06-ururumba.pdf,2111
1959.02.02,02-feb-1959 reported,1959,unprovoked,solomon islands,guadalcanal province,"trench�s beach, guadalcanal island",bathing with sister,m,15.0,"fatal, body not recovered",y,nan,"note: v.m. coppleson (1962), p.248, lists date as 12./6/1958; p. gilbert, l. schultz & s. springer list date of 2/2/1959 and both sources list the same location;  new zealand herald, 2/2/1959",1959.02.02-battye.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.02-battye.pdf,2110
1959.02.01,01-feb-59,1959,unprovoked,south africa,kwazulu-natal,port shepstone,treading water,m,14.0,leg severed below knee,n,1.8 to 2.1 m [6' to 7'] shark,"r. vermaak, m. levine, gsaf",1959.02.01-vermaak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.01-vermaak.pdf,2109
1959.01.31,31-jan-59,1959,unprovoked,australia,western australia,south perth,working prawn net,m,20.0,shark�s tail grazed his shin,n,"grey nurse shark, 1.8 m [6']","west australian (perth), * sunday times, 2/1/1959s; p. gilbert, l. schultz & s. springer (1960)",1959.01.31-rudd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.31-rudd.pdf,2108
1959.01.27,27-jan-59,1959,unprovoked,ecuador,galapagos islands,crewing on  the tuna clipper mary barbara,washed overboard into school of fish,m,57.0,right leg & left foot lacerated,n,bitten by several 1.8 m [6'] sharks,"ny world -telegram & sun, 1/28/1959;  note: v.m. coppleson (1962), p.246, records the date as 3/5/1959",1959.01.27-swienty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.27-swienty.pdf,2107
1959.01.25,25-jan-59,1959,unprovoked,australia,tasmania,"whale bay, king island, bass strait",swimming with motor tube,m,16.0,thigh bitten,n,nan,"c. black, gsaf; launceston examiner (tasmania) 1/26/1959; p. gilbert, l. schultz & s. springer (1960); j. green, p.35",1959.01.25-grave.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.25-grave.pdf,2106
1959.01.17.b,17-jan-59,1959,unprovoked,australia,tasmania,safety cove,in deep water about 100 yards from his ship,m,22.0,fatal,y,said to involve 2 sharks: 5.2 m & 6 m [17' & 20'],"odessa american, 1/19/1959; g.p. whitley, ref daily telegraph & west australian, 1/19/1959; p. gilbert, l. schultz & s. springer (1960); c. black, pp. 148-151",1959.01.17.b-derry.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.17.b-derry.pdf,2105
1959.01.17.a,17-jan-59,1959,unprovoked,australia,queensland,alexandra headland near mooloolaba,"surfing, but treading water",m,17.0,right foot & toe bitten,n,1.8 m [6'] shark,"sun herald (sydney) 1/18/1959;  p. gilbert, l. schultz & s. springer(1960); j. green, p.35",1959.01.17.a-neil.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.17.a-neil.pdf,2104
1959.01.15,15-jan-59,1959,unprovoked,south africa,western cape province,melkbaai,swimming,m,18.0,thigh & both wrists lacerated,n,"white shark, 1.8 m to 2.1 m [6' to 7']  according to shreuder and a witness","cape times, 1/16/1959 et al, m. levine, gsaf",1959.01.15-schreuder.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.15-schreuder.pdf,2103
1959.01.12,12-jan-59,1959,unprovoked,new guinea,milne bay province,"uga, banaira, milne bay",dragging banana seeds through the shallows,m,,left calf & right thigh bitten,n,1.4 m [4.5'] shark,"a.m. rapson, p.149; l. schultz & m. malin, p.544",1959.01.12-uga.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.12-uga.pdf,2102
1959.01.02,02-jan-59,1959,unprovoked,mozambique,maputo province,off inhaca island,swimming ashore from fishing boat swamped and sunk by a squall,m,,"suttie's lower abdomen was bitten, murray disappeared (presumed drowned)",y,nan,"m. levine, gsaf; cape argus 1/3/1959; natal mercury, 1/5/1959",1959.01.02-suttie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.02-suttie.pdf,2101
1959.01.00,not defined,1959,unprovoked,australia,tasmania,badger head,spearfishing / free diving,m,,abrasion,n,1.5 m [5'] shark,"malcolm g. hooper; l. schultz & m. malin, p.527",1959.01.00-badgerhead.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.00-badgerhead.pdf,2100
1959.00.00.g,not defined,1959,unprovoked,south korea,south chungcheong province,"36�17'n,  126�31'e",swimming,m,,fatal,y,white shark?,y. choi & k. nakaya,1959.00.00.g-southkorea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.g-southkorea.pdf,2099
1959.00.00.f,not defined,1959,unprovoked,india,orissa,mouth of devi river at machgaon,nan,,,"5 people killed by sharks, 30 others injured",y,1.5 m to 1.8 m [5' to 6'] sharks,"reported bytimes of india, 11 september 1959; v.m. coppleson (1952), p.247; webster, p.67",1959.00.00.f-india.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.f-india.pdf,2098
1959.00.00.e,not defined,1959,provoked,atlantic ocean,nan,nan,paddling & sailing from buenos aires to miami,m,,hooked shark bit his arm provoked incident,n,"tiger shark, 12' ?","new york times, 1/29/1960",1959.00.00.e-tapavica.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.e-tapavica.pdf,2097
1959.00.00.d,not defined,1959,unprovoked,papua new guinea,west new britain province,"poi, kombe talasea",spear fishing,m,,minor injuries,n,nan,"a.m. rapson, p.150; l. schultz & m. malin, p.544",1959.00.00.d-poi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.d-poi.pdf,2096
1959.00.00.c,not defined,1959,unprovoked,papua new guinea,west new britain province,"kalapiai, kombe",fishing,m,,minor injuries,n,nan,"a.m. rapson, p.150",1959.00.00.c-kalapiai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.c-kalapiai.pdf,2095
1959.00.00.b,not defined,1959,unprovoked,papua new guinea,"new ireland province, bismarck archipelago","enuk island, kavieng",nan,m,,"fatal, abdomen & leg bitten",y,nan,"j. mclachlan, medical officer, kavieng; a.m. rapson, p.150; l. schultz & m. malin, p.544",1959.00.00.b-pasinganlas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.b-pasinganlas.pdf,2094
1959.00.00.a,not defined,1959,provoked,papua new guinea,morobe province,nan,fishing,m,,penis bitten while trying to drag speared shark to beach provoked incident,n,nan,"a.d. campbell; a.m. rapson, p.147",1959.00.00.a-morobe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.00.00.a-morobe.pdf,2093
1958.12.28,28-dec-58,1958,boat,turkey,ahirkapi coast,constantinople,fishing,,,boat damaged,,white shark,"c. moore, gsaf",1958.12.28-constantinople.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.28-constantinople.pdf,2092
1958.12.27,27-dec-58,1958,unprovoked,papua new guinea,madang province,taludig,nan,,,hip bitten,n,nan,"a.m. rapson, p.149; v.m. coppleson (1962), p.248",1958.12.27-taludig.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.27-taludig.pdf,2091
1958.12.23,23-dec-58,1958,unprovoked,south africa,western cape province,"melkbaai, false bay",swimming,m,14.0,fatal,y,nan,"1/16/1959, cape argus; g. wilson; m. levine, gsaf",1958.12.23-geldenhuys.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.23-geldenhuys.pdf,2090
1958.12.13,13-dec-58,1958,unprovoked,usa,hawaii,"near twin islands off lanikai, o'ahu (east coast)",surfing on air mattress,m,15.0,"fatal, leg severed",y,"tiger shark, 4.6 m to 7.6 m [15' to 25']",a. l. tester,1958.12.13-weaver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.12.13-weaver.pdf,2089
